id,abbr,address,buildingID,category,facid,gsf,latitude,longitude,name,nsf,searchable,site,zone,count
564,HLH30,"HILLHOUSE AVENUE, 30",168,Academic & Admin: Medium,1230,15988,41.314053,-72.923937,"HILLHOUSE AVE,30",12899,"1230 HILLHOUSE AVE,30 HILLHOUSE AVENUE, 30  HILLHOUSE AVENUE, 30 HLH30 30 HILLHOUSE AVENUE HILLHOUSE AVE, 30 ",CEN,ZONE 2,1
565,HLH38,"HILLHOUSE AVENUE, 38",167,Academic & Admin: Medium,1225,17060,41.314576,-72.923746,"HILLHOUSE AVE,38",13282,"1225 HILLHOUSE AVE,38 HILLHOUSE AVENUE, 38 HENRY FOWLER ENGLISH HSE HILLHOUSE AVENUE, 38 HLH38 38 HILLHOUSE AVENUE HILLHOUSE AVE, 38 ",CEN,ZONE 2,1
566,HLH43,"HILLHOUSE AVENUE, 43",152,Academic & Admin: Medium,1140,20739,41.314727,-72.922714,"HILLHOUSE AVE,43",16019,"1140 HILLHOUSE AVE,43 HILLHOUSE AVENUE, 43  HILLHOUSE AVENUE, 43 HLH43 43 HILLHOUSE AVENUE HILLHOUSE AVE, 43 ",CEN,ZONE 2,1
567,HRCH,"HILLHOUSE AVENUE, 55",139,Academic & Admin: Medium,1100,20921,41.31543,-72.922403,HORCHOW HALL,16485,"1100 HORCHOW HALL HILLHOUSE AVENUE, 55 PELATIAH PERIT HOUSE HORCHOW HALL HRCH 55 HILLHOUSE AVENUE HILLHOUSE AVE, 55 HORCHOW HALL",CEN,ZONE 2,1
568,K,"HILLHOUSE AVENUE,  2",215,Academic & Admin: Medium,1515,23049,41.311865,-72.924646,KIRTLAND HALL,18360,"1515 KIRTLAND HALL HILLHOUSE AVENUE,  2  KIRTLAND HALL, JARED P. K 2 HILLHOUSE AVENUE HILLHOUSE AVE,  2 KIRTLAND HALL",CEN,ZONE 2,1
569,LOM,"HILLHOUSE AVENUE, 12",213,Academic & Admin: Medium,1505,21153,41.312687,-72.924334,LEET OLIVER MEM HALL,16275,"1505 LEET OLIVER MEM HALL HILLHOUSE AVENUE, 12  LEET OLIVER MEMORIAL HALL LOM 12 HILLHOUSE AVENUE HILLHOUSE AVE, 12 LEET OLIVER MEMORIAL HALL",CEN,ZONE 2,1
570,LGH,"COLLEGE STREET, 435",263,Academic & Admin: Medium,1950,28471,41.309852,-72.926412,LEIGH HALL,21326,"1950 LEIGH HALL COLLEGE STREET, 435 COLLEGE ST, 435/UG ADMIS/UNIV HEALTH CTR LEIGH HALL, ABBY AND MITCH LGH 435 COLLEGE STREET COLLEGE ST, 435 ABBY AND MITCH LEIGH HALL",CEN,ZONE 3,1
571,LUCE,"HILLHOUSE AVENUE, 34",174,Academic & Admin: Medium,1255,32040,41.314402,-72.924341,"LUCE HALL, HENRY R.",27387,"1255 LUCE HALL, HENRY R. HILLHOUSE AVENUE, 34  LUCE HALL, HENRY R. LUCE 34 HILLHOUSE AVENUE HILLHOUSE AVE, 34 HENRY LUCE HALL",CEN,ZONE 2,1
572,PHELPS,"COLLEGE STREET, 344",354,Academic & Admin: Medium,2625,27818,41.308412,-72.928206,PHELPS HALL,16316,"2625 PHELPS HALL COLLEGE STREET, 344  PHELPS HALL PHELPS 344 COLLEGE STREET COLLEGE ST, 344 PHELPS HALL - PH",CEN,ZONE 3,1
573,PROS077,"PROSPECT STREET,  77",173,Academic & Admin: Medium,1250,21887,41.313967,-72.924613,"PROSPECT ST, 77",17531,"1250 PROSPECT ST, 77 PROSPECT STREET,  77  PROSPECT STREET,  77 PROS077 77 PROSPECT STREET PROSPECT ST,  77 ",CEN,ZONE 2,1
575,SACH010,"SACHEM STREET, 10",144,Academic & Admin: Medium,1110,30596,41.315221,-72.921483,"SACHEM ST, 10 (158 WHIT)",26184,"1110 SACHEM ST, 10 (158 WHIT) SACHEM STREET, 10 WHITNEY AVE, 158 - WHIT158; JOHN NORTH HSE SACHEM STREET, 10 SACH010 10 SACHEM STREET SACHEM ST, 10 158 WHITNEY",CEN,ZONE 2,1
576,SB,"PROSPECT STREET, 205",132,Academic & Admin: Medium,1070,27698,41.317156,-72.923697,SAGE-BOWERS HALL,22606,"1070 SAGE-BOWERS HALL PROSPECT STREET, 205  SAGE- BOWERS HALLS SB 205 PROSPECT STREET PROSPECT ST, 205 SAGE-BOWERS HALLS - SAGEHALL",CEN,ZONE 1,1
577,SLIFKA,"WALL STREET,  80",255,Academic & Admin: Medium,1913,0,41.310179,-72.925269,"SLIFKA CENTER, JOSEPH",0,"1913 SLIFKA CENTER, JOSEPH WALL STREET,  80  SLIFKA CENTER, JOSEPH, FOR JEWISH LIFE SLIFKA 80 WALL STREET WALL ST, 80 JOSEPH SLIFKA CENTER",CEN,ZONE 3,1
578,SMH,"COLLEGE STREET, 470",276,Academic & Admin: Medium,2025,34417,41.310687,-72.926576,"SPRAGUE HALL,ARNOLD",27671,"2025 SPRAGUE HALL,ARNOLD COLLEGE STREET, 470  SPRAGUE MEMORIAL HALL, ARNOLD A. SMH 470 COLLEGE STREET COLLEGE ST, 470 SPRAGUE MEMORIAL HALL - SMH",CEN,ZONE 3,1
579,STOECK,"COLLEGE STREET, 469",252,Academic & Admin: Medium,1900,22775,41.310498,-72.926024,STOECKEL HALL,17957,"1900 STOECKEL HALL COLLEGE STREET, 469  STOECKEL HALL, GUSTAVE J. STOECK 469 COLLEGE STREET COLLEGE ST, 469 STOECKEL HALL",CEN,ZONE 3,1
580,TEMP302,"TEMPLE STREET, 302",258,Academic & Admin: Medium,1930,33445,41.309388,-72.925315,"TEMPLE ST, 302",28162,"1930 TEMPLE ST, 302 TEMPLE STREET, 302  TEMPLE STREET, 302 TEMP302 302 TEMPLE STREET TEMPLE ST, 302 ",CEN,ZONE 3,1
581,UT,"YORK STREET, 222",327,Academic & Admin: Medium,2435,48422,41.309701,-72.931255,UNIVERSITY THEATRE,44093,"2435 UNIVERSITY THEATRE YORK STREET, 222  UNIVERSITY THEATRE UT 222 YORK STREET YORK ST, 222 UNIVERSITY THEATRE - UT",CEN,ZONE 4,1
582,WALL53,"WALL STREET,  53",250,Academic & Admin: Medium,1840,38314,41.309813,-72.923678,"WALL ST, 53",30931,"1840 WALL ST, 53 WALL STREET,  53 TRINITY CHURCH PARISH HSE WALL STREET, 53 WALL53 53 WALL STREET WALL ST, 53 ",CEN,ZONE 3,1
583,WALL82,"WALL STREET,  82-90",253,Academic & Admin: Medium,1905,34679,41.310348,-72.925617,"WALL ST, 82-90",28066,"1905 WALL ST, 82-90 WALL STREET,  82-90  WALL STREET, 82-90 WALL82 82-90 WALL STREET WALL ST, 82 82 WALL",CEN,ZONE 3,1
584,WARNER,"HILLHOUSE AVENUE,  1",227,Academic & Admin: Medium,1625,22640,41.311377,-72.924115,WARNER HOUSE,18310,"1625 WARNER HOUSE HILLHOUSE AVENUE,  1 CLOISTER HOUSE WARNER HOUSE WARNER 1 HILLHOUSE AVENUE HILLHOUSE AVE,  1 ",CEN,ZONE 2,1
585,WTS,"SACHEM STREET, 60",163,Academic & Admin: Medium,1205,41874,41.315756,-72.92372,WATSON CENTER,35705,"1205 WATSON CENTER SACHEM STREET, 60  WATSON CENTER WTS 60 SACHEM STREET SACHEM ST, 60 ",CEN,ZONE 2,1
586,WEIR,"HIGH STREET, 66",345,Academic & Admin: Medium,2515,19718,41.30879,-72.930364,WEIR HALL,13342,"2515 WEIR HALL HIGH STREET, 66  WEIR HALL, JOHN F. WEIR 66 HIGH STREET HIGH ST, 66 JOHN WEIR HALL",CEN,ZONE 4,1
587,YRT,"CHAPEL STREET, 1120",364,Academic & Admin: Medium,2700,25705,41.308064,-72.931607,YALE REPERTORY THEAT,20966,"2700 YALE REPERTORY THEAT CHAPEL STREET, 1120 CALVARY BAPTIST CHURCH YALE REPERTORY THEATRE YRT 1120 CHAPEL STREET CHAPEL ST, 1120 YALE REPERTORY THEATRE - YRT",CEN,ZONE 4,1
588,ALW,"HILLHOUSE AVENUE, 31",148,Academic & Admin: Small,1125,7433,41.313919,-72.923116,ALLWIN HALL,6369,"1125 ALLWIN HALL HILLHOUSE AVENUE, 31 ABIGAIL WHELPLEY HOUSE ALLWIN HALL ALW 31 HILLHOUSE AVENUE HILLHOUSE AVE, 31 ",CEN,ZONE 2,1
589,CSB,"EDWARDS STREET, 350",111,Academic & Admin: Small,1006,8755,41.318929,-72.921959,CHEMICAL SAFETY BLDG,6954,"1006 CHEMICAL SAFETY BLDG EDWARDS STREET, 350  CHEMICAL SAFETY BUILDING CSB 350 EDWARDS STREET EDWARDS ST, 350 CHEMICAL SAFETY BLDG",CEN,ZONE 1,1
590,CHUR250,"CHURCH STREET, 250",247,Academic & Admin: Small,1830,11578,41.310132,-72.923057,"CHURCH ST, 250",9551,"1830 CHURCH ST, 250 CHURCH STREET, 250 PRESIDENT WOOLSEY HOUSE CHURCH STREET, 250 CHUR250 250 CHURCH STREET CHURCH ST, 250 ",CEN,ZONE 3,1
591,CHUR258,"CHURCH STREET, 258",246,Academic & Admin: Small,1825,11078,41.31039,-72.922927,"CHURCH ST, 258/GROVE,96",9252,"1825 CHURCH ST, 258/GROVE,96 CHURCH STREET, 258 GROVE ST, 96 2ND ENTRNC/ABBY SALISBURY/ELFORD P. TROWBRIDGE HSE CHURCH STREET, 258 CHUR258 258 CHURCH STREET CHURCH ST, 258 ",CEN,ZONE 3,1
592,COLL459,"COLLEGE STREET, 459",266,Academic & Admin: Small,1960,0,41.310329,-72.926123,ELIZABETHAN CLUB,0,"1960 ELIZABETHAN CLUB COLLEGE STREET, 459 LEVERETT GRISWOLD HOUSE ELIZABETHAN CLUB COLL459 459 COLLEGE STREET COLLEGE ST, 459 ELIZABETHAN CLUB",CEN,ZONE 3,1
593,ELM294,"ELM STREET, 294-296",318,Academic & Admin: Small,2405,8539,41.31066,-72.930282,"ELM ST, 294-296",7415,"2405 ELM ST, 294-296 ELM STREET, 294-296 ELM ST, 294-296 ELM STREET,  294-296 ELM294 294-296 ELM STREET ELM ST, 294 ",CEN,ZONE 4,1
594,EVN,"HILLHOUSE AVENUE, 56",164,Academic & Admin: Small,1210,12659,41.315689,-72.923332,"EVANS HALL, THOMAS M.",10154,"1210 EVANS HALL, THOMAS M. HILLHOUSE AVENUE, 56 ELIZABETH APTHORP HOUSE EVANS HALL, THOMAS MELLON EVN 56 HILLHOUSE AVENUE HILLHOUSE AVE, 56 EVANS HALL",CEN,ZONE 2,1
595,FND,"PROSPECT STREET, 135",162,Academic & Admin: Small,1200,13909,41.31569,-72.924257,FOUNDERS HALL,11178,"1200 FOUNDERS HALL PROSPECT STREET, 135 JOHN P. NORTON CARR HSE; YERKES LABS; PROSP. HILL DAY SCH; YALE OBSERV. FOUNDERS HALL FND 135 PROSPECT STREET PROSPECT ST, 135 ",CEN,ZONE 2,1
596,GPSCY,"YORK STREET, 204",333,Academic & Admin: Small,2455,11274,41.309298,-72.931908,GRAD-PRO STUDENT CTR,9200,"2455 GRAD-PRO STUDENT CTR YORK STREET, 204 BETA THETA PI YORK STREET, 204 GPSCY 204 YORK STREET YORK ST, 204 GRAD-PRO STUDENT CTR - GYPSY",CEN,ZONE 4,1
597,GBCC,"PROSPECT STREET, 391",4988,Academic & Admin: Small,434,13642,41.322215,-72.921924,GREENBERG CONF CENTER,11691,"0434 GREENBERG CONF CENTER PROSPECT STREET, 391  GREENBERG CONFERENCE CENTER, MAURICE R. GBCC 391 PROSPECT STREET PROSPECT ST, 391 ",CEN,OUTSOURCE,1
598,HLH27,"HILLHOUSE AVENUE, 27",147,Academic & Admin: Small,1120,13023,41.313684,-72.923163,"HILLHOUSE AVE,27",9096,"1120 HILLHOUSE AVE,27 HILLHOUSE AVENUE, 27 REV PROF GEORGE PARK FISHER HOUSE HILLHOUSE AVENUE, 27 HLH27 27 HILLHOUSE AVENUE HILLHOUSE AVE, 27 ",CEN,ZONE 2,1
599,HLH35,"HILLHOUSE AVENUE, 35",149,Academic & Admin: Small,1130,10033,41.314187,-72.922896,"HILLHOUSE AVE,35",8123,"1130 HILLHOUSE AVE,35 HILLHOUSE AVENUE, 35 MARY PRICHARD HOUSE HILLHOUSE AVENUE, 35 HLH35 35 HILLHOUSE AVENUE HILLHOUSE AVE, 35 ",CEN,ZONE 2,1
600,HLH37,"HILLHOUSE AVENUE, 37",151,Academic & Admin: Small,1135,11239,41.314479,-72.922822,"HILLHOUSE AVE,37",9382,"1135 HILLHOUSE AVE,37 HILLHOUSE AVENUE, 37 JOHN S GRAVES HSE; DANIEL COIT GILMAN HSE HILLHOUSE AVENUE, 37 HLH37 37 HILLHOUSE AVENUE HILLHOUSE AVE, 37 ",CEN,ZONE 2,1
601,HLH46,"HILLHOUSE AVENUE, 46",166,Academic & Admin: Small,1220,12023,41.315049,-72.923594,"HILLHOUSE AVE,46",9618,"1220 HILLHOUSE AVE,46 HILLHOUSE AVENUE, 46 AARON N. SKINNER HSE; TROWBRIDGE HSE HILLHOUSE AVENUE, 46 HLH46 46 HILLHOUSE AVENUE HILLHOUSE AVE, 46 ",CEN,ZONE 2,1
602,HLH51,"HILLHOUSE AVENUE, 51",153,Academic & Admin: Small,1145,9950,41.315107,-72.922615,"HILLHOUSE AVE,51",8180,"1145 HILLHOUSE AVE,51 HILLHOUSE AVENUE, 51 JOHN M. GRAVES HSE; JAMES M. B. DWIGHT HSE HILLHOUSE AVENUE, 51 HLH51 51 HILLHOUSE AVENUE HILLHOUSE AVE, 51 ",CEN,ZONE 2,1
603,PARK211,"PARK STREET, 211",339,Academic & Admin: Small,2480,14540,41.309407,-72.932877,"PARK ST, 211",11658,"2480 PARK ST, 211 PARK STREET, 211 CHI PSI PARK STREET, 211 PARK211 211 PARK STREET PARK ST, 211 ",CEN,ZONE 4,1
604,PARK215,"PARK STREET, 215",340,Academic & Admin: Small,2485,10034,41.309241,-72.932397,"PARK ST, 215",7994,"2485 PARK ST, 215 PARK STREET, 215 ALPHA DELTA PHI PARK STREET, 215 PARK215 215 PARK STREET PARK ST, 215 ",CEN,ZONE 4,1
605,PARK217,"PARK STREET, 217",341,Academic & Admin: Small,2490,11409,41.309578,-72.932691,"PARK ST, 217",8952,"2490 PARK ST, 217 PARK STREET, 217 PHI GAMMA DELTA PARK STREET, 217 PARK217 217 PARK STREET PARK ST, 217 CABARET",CEN,ZONE 4,1
606,RAH,"YORK STREET, 232",326,Academic & Admin: Small,2430,11798,41.309894,-72.931056,ROSE ALUMNI HOUSE,9128,"2430 ROSE ALUMNI HOUSE YORK STREET, 232 DELTA KAPPA EPSILON ROSE ALUMNI HOUSE RAH 232 YORK STREET YORK ST, 232 ROSE ALUMNI HOUSE - AYA",CEN,ZONE 4,1
607,STN,"HILLHOUSE AVENUE, 52",165,Academic & Admin: Small,1215,12462,41.315431,-72.923441,STEINBACH HALL,9992,"1215 STEINBACH HALL HILLHOUSE AVENUE, 52 JOHN P. NORTON HOUSE STEINBACH HALL STN 52 HILLHOUSE AVENUE HILLHOUSE AVE, 52 STEINBACH HALL",CEN,ZONE 2,1
608,TEMP320,"TEMPLE STREET, 320",257,Academic & Admin: Small,1925,9615,41.309848,-72.924908,"TEMPLE ST, 320",7929,"1925 TEMPLE ST, 320 TEMPLE STREET, 320  TEMPLE STREET, 320 TEMP320 320 TEMPLE STREET TEMPLE ST, 320 ",CEN,ZONE 3,1
609,TEMP432,"TEMPLE STREET, 432",223,Academic & Admin: Small,1610,5786,41.312822,-72.922683,"TEMPLE ST, 432",5006,"1610 TEMPLE ST, 432 TEMPLE STREET, 432  TEMPLE STREET, 432 TEMP432 432 TEMPLE STREET TEMPLE ST, 432 ",CEN,ZONE 2,1
659,W-CHILD,"WEST CAMPUS DRIVE, 230",4931,West Campus,4206,28591,41.252846,-72.99797,WC CHILDCARE CENTER,24427,"4206 WC CHILDCARE CENTER WEST CAMPUS DRIVE, 230 WEST - E29 DAYCARE WC CHILDCARE CENTER W-CHILD 230 WEST CAMPUS DRIVE WEST CAMPUS DR, 230 W-E29",WST,,1
611,TEMP434,"TEMPLE STREET, 434",224,Academic & Admin: Small,1612,6577,41.312902,-72.922632,"TEMPLE ST, 434",5255,"1612 TEMPLE ST, 434 TEMPLE STREET, 434  TEMPLE STREET, 434 TEMP434 434 TEMPLE STREET TEMPLE ST, 434 ",CEN,ZONE 2,1
612,TEMP442,"TEMPLE STREET, 442",221,Academic & Admin: Small,1605,5353,41.313067,-72.922578,"TEMPLE ST, 442",4446,"1605 TEMPLE ST, 442 TEMPLE STREET, 442 A. A. THOMPSON HSE TEMPLE STREET, 442 TEMP442 442 TEMPLE STREET TEMPLE ST, 442 ",CEN,ZONE 2,1
613,TRUM87,"TRUMBULL STREET, 87",171,Academic & Admin: Small,1240,7858,41.313858,-72.924351,"TRUMBULL ST, 87",6568,"1240 TRUMBULL ST, 87 TRUMBULL STREET, 87 BENJAMIN SILLIMAN HSE TRUMBULL STREET, 87 TRUM87 87 TRUMBULL STREET TRUMBULL ST, 87 ",CEN,ZONE 2,1
614,WALL66,"WALL STREET,  66",256,Academic & Admin: Small,1920,6937,41.310013,-72.924781,"WALL ST, 66",6063,"1920 WALL ST, 66 WALL STREET,  66 JOHN A. LYNDE HOUSE WALL STREET, 66 WALL66 66 WALL STREET WALL ST, 66 ",CEN,ZONE 3,1
615,WOOD,"WALL STREET, 105",275,Academic & Admin: Small,2020,11346,41.31117,-72.926693,WOODBRIDGE HALL,8944,"2020 WOODBRIDGE HALL WALL STREET, 105  WOODBRIDGE HALL, TIMOTHY WOOD 105 WALL STREET WALL ST,105 TIMOTHY WOODBRIDGE HALL",CEN,ZONE 3,1
616,YKSPL094,"YORK SQUARE PLACE, 94",203,Academic & Admin: Small,1436,3710,41.314112,-72.929785,"YORK SQUARE PL,  94",2223,"1436 YORK SQUARE PL,  94 YORK SQUARE PLACE, 94  YORK SQUARE PLACE, 94 YKSPL094 94 YORK SQUARE PLACE YORK SQ, 94 ",CEN,LEASED,1
617,YORK202,"YORK STREET, 202",332,Academic & Admin: Small,2450,6799,41.309127,-72.931495,"YORK ST, 202",5207,"2450 YORK ST, 202 YORK STREET, 202  YORK STREET, 202 YORK202 202 YORK STREET YORK ST, 202 ",CEN,OUTSOURCE,1
618,YORK212,"YORK STREET, 212",331,Academic & Admin: Small,2445,10127,41.309502,-72.932049,"YORK ST, 212",7867,"2445 YORK ST, 212 YORK STREET, 212 ZETA PSI YORK STREET, 212 YORK212 212 YORK STREET YORK ST, 212 ",CEN,ZONE 4,1
619,YORK220,"YORK STREET, 220",330,Academic & Admin: Small,2440,12278,41.309698,-72.931865,"YORK ST, 220",9746,"2440 YORK ST, 220 YORK STREET, 220 FENCE CLUB YORK STREET, 220 YORK220 220 YORK STREET YORK ST, 220 FENCE CLUB",CEN,ZONE 4,1
620,ARN,"ELM STREET, 304",4788,Dormatory - Central,2403,26159,41.311041,-72.93145,ARNOLD HALL,20850,"2403 ARNOLD HALL ELM STREET, 304  ROBERT M. ARNOLD HALL ARN 304 ELM STREET ELM ST, 304 ",CEN,ZONE 4,1
621,BAKER,"TOWER PARKWAY,100",195,Dormatory - Central,1413,137443,41.313749,-72.929123,BAKER HALL,113722,"1413 BAKER HALL TOWER PARKWAY,100 NEW RESIDENCE HALL/ASHMUN STREET, 40 ROBERT C & CHRISTINA BAKER HALL AT YALE LAW SCHOOL BAKER 100 TOWER PARKWAY TOWER PKWY,100 NEW RESIDENCE HALL",CEN,ZONE 4,1
622,BELLAMY,"CANNER STREET, 354",29,Dormatory - Central,405,28440,41.324626,-72.920499,BELLAMY HALL (DIV),24528,"0405 BELLAMY HALL (DIV) CANNER STREET, 354  BELLAMY HALL BELLAMY 354 CANNER STREET CANNER ST, 354 BELLAMY HALL DIVINITY",CEN,ZONE 2,1
623,BK,"ELM STREET, 205",279,Dormatory - Central,2040,146338,41.310305,-72.928105,BERKELEY COLLEGE,113453,"2040 BERKELEY COLLEGE ELM STREET, 205  BERKELEY COLLEGE, GEORGE BK 205 ELM STREET ELM ST, 205 BERKELEY COLLEGE - BK",CEN,ZONE 3,1
624,BM,"COLLEGE STREET, 300",356,Dormatory - Central,2635,62202,41.30772,-72.928737,"BINGHAM HALL,CHARLES",48607,"2635 BINGHAM HALL,CHARLES COLLEGE STREET, 300  BINGHAM HALL, CHARLES W. BM 300 COLLEGE STREET COLLEGE ST, 300 BINGHAM HALL - BM",CEN,ZONE 3,1
625,BR,"HIGH STREET, 74",343,Dormatory - Central,2505,154221,41.310308,-72.928117,BRANFORD COLLEGE,115837,"2505 BRANFORD COLLEGE HIGH STREET, 74  BRANFORD COLLEGE BR 74 HIGH STREET HIGH ST, 74 BRANFORD COLLEGE - BR",CEN,ZONE 4,1
626,CC,"ELM STREET, 189",278,Dormatory - Central,2035,131329,41.309936,-72.927225,"CALHOUN COLLEGE,JOHN",100019,"2035 CALHOUN COLLEGE,JOHN ELM STREET, 189  CALHOUN COLLEGE, JOHN C. CC 189 ELM STREET ELM ST, 189 CALHOUN COLLEGE - CC",CEN,ZONE 3,1
627,CURTIS,"CANNER STREET, 350",30,Dormatory - Central,410,28462,41.324559,-72.91994,CURTIS HALL (DIV),24333,"0410 CURTIS HALL (DIV) CANNER STREET, 350  CURTIS HALL CURTIS 350 CANNER STREET CANNER ST, 350 CURTIS HALL DIVINITY",CEN,ZONE 2,1
628,DC,"YORK STREET, 248",324,Dormatory - Central,2420,157488,41.310418,-72.931252,DAVENPORT COLLEGE,123243,"2420 DAVENPORT COLLEGE YORK STREET, 248  DAVENPORT COLLEGE, JOHN DC 248 YORK STREET YORK ST, 248 DAVENPORT COLLEGE - DC",CEN,ZONE 4,1
629,D,"ELM STREET, 198",350,Dormatory - Central,2605,43805,41.309622,-72.928056,"DURFEE HALL,BRADFORD",33654,"2605 DURFEE HALL,BRADFORD ELM STREET, 198  DURFEE HALL, BRADFORD M.C. D 198 ELM STREET ELM ST, 198 BRADFORD DURFEE HALL",CEN,ZONE 3,1
630,ES,"YORK STREET, 302",295,Dormatory - Central,2145,144250,41.312485,-72.930846,EZRA STILES COLLEGE,117057,"2145 EZRA STILES COLLEGE YORK STREET, 302  STILES COLLEGE, EZRA ES 302 YORK STREET YORK ST, 302 EZRA STILES COLLEGE - ES",CEN,ZONE 4,1
631,F,"COLLEGE STREET, 380",352,Dormatory - Central,2615,30353,41.309048,-72.927711,"FARNAM HALL, HENRY",22986,"2615 FARNAM HALL, HENRY COLLEGE STREET, 380  FARNAM HALL, HENRY F 380 COLLEGE STREET COLLEGE ST, 380 HENRY FARNAM HALL",CEN,ZONE 3,1
632,FISHER,"CANNER STREET, 352",28,Dormatory - Central,400,21848,41.325097,-72.920165,FISHER HALL (DIV),18342,"0400 FISHER HALL (DIV) CANNER STREET, 352  FISHER HALL FISHER 352 CANNER STREET CANNER ST, 352 FISHER HALL DIVINITY",CEN,ZONE 2,1
633,HHH,"TEMPLE STREET, 420",225,Dormatory - Central,1615,64801,41.312524,-72.923042,HELEN HADLEY HALL,57322,"1615 HELEN HADLEY HALL TEMPLE STREET, 420  HADLEY HALL, HELEN MORRIS HHH 420 TEMPLE STREET TEMPLE ST, 420 HELEN HADLEY HALL MORRIS - HHH",CEN,ZONE 2,1
634,JE,"HIGH STREET, 68",344,Dormatory - Central,2510,122968,41.309104,-72.930527,JONATHAN EDWARDS COL,90343,"2510 JONATHAN EDWARDS COL HIGH STREET, 68  EDWARDS COLLEGE, JONATHAN JE 68 HIGH STREET HIGH ST, 68 JONATHAN EDWARDS COLLEGE - JE",CEN,ZONE 4,1
635,LWR,"ELM STREET, 206",349,Dormatory - Central,2600,65410,41.309735,-72.928692,LANMAN-WRIGHT HALL,51099,"2600 LANMAN-WRIGHT HALL ELM STREET, 206  LANMAN-WRIGHT HALL LWR 206 ELM STREET ELM ST, 206 LANMAN-WRIGHT HALL",CEN,ZONE 3,1
636,L,"COLLEGE STREET, 358",353,Dormatory - Central,2620,37139,41.308676,-72.927996,"LAWRANCE HALL,THOMAS",27343,"2620 LAWRANCE HALL,THOMAS COLLEGE STREET, 358  LAWRANCE HALL, THOMAS G. L 358 COLLEGE STREET COLLEGE ST, 358 THOMAS LAWRANCE HALL",CEN,ZONE 3,1
637,EM,"CHAPEL STREET, 1037",358,Dormatory - Central,2645,21747,41.30827,-72.929339,"MCCLELLAN HALL,EDWIN",17849,"2645 MCCLELLAN HALL,EDWIN CHAPEL STREET, 1037  MCCLELLAN HALL, EDWIN EM 1037 CHAPEL STREET CHAPEL ST, 1037 MCCLELLAN HALL",CEN,ZONE 3,1
638,MC,"YORK STREET, 304",283,Dormatory - Central,2100,144045,41.312639,-72.930124,MORSE COLLEGE,116151,"2100 MORSE COLLEGE YORK STREET, 304  MORSE COLLEGE, SAMUEL F. B. MC 304 YORK STREET YORK ST, 304 MORSE COLLEGE - 304 YORK - MC",CEN,ZONE 4,1
639,PC,"PARK STREET, 261",325,Dormatory - Central,2425,174906,41.310049,-72.932166,PIERSON COLLEGE,135394,"2425 PIERSON COLLEGE PARK STREET, 261  PIERSON COLLEGE, ABRAHAM PC 261 PARK STREET PARK ST, 261 PIERSON COLLEGE - PC",CEN,ZONE 4,1
640,RSN,"GROVE STREET, 109-111",237,Dormatory - Central,1715,40056,41.311047,-72.923403,ROSENFELD HALL,30906,"1715 ROSENFELD HALL GROVE STREET, 109-111 ST. ELMO HALL ROSENFELD HALL RSN 109-111 GROVE STREET GROVE ST, 109 ROSENFELD HALL- 109 GROVE",CEN,ZONE 3,1
641,SY,"ELM STREET, 242",342,Dormatory - Central,2500,164824,41.310092,-72.929603,SAYBROOK COLLEGE,127098,"2500 SAYBROOK COLLEGE ELM STREET, 242  SAYBROOK COLLEGE SY 242 ELM STREET ELM ST, 242 SAYBROOK COLLEGE - SY",CEN,ZONE 4,1
642,SM,"COLLEGE STREET, 505",243,Dormatory - Central,1800,239975,41.310813,-72.924871,SILLIMAN COLLEGE,186168,"1800 SILLIMAN COLLEGE COLLEGE STREET, 505 INCL. BYERS HALL & VANDERBILT SCIENTIFIC HALL SILLIMAN COLLEGE, BENJAMIN SM 505 COLLEGE STREET COLLEGE ST, 505 BENJAMIN SILLIMAN COLLEGE - SM",CEN,ZONE 3,1
643,TD,"TEMPLE STREET, 345",245,Dormatory - Central,1820,154555,41.31028,-72.923764,TIMOTHY DWIGHT COLL.,109554,"1820 TIMOTHY DWIGHT COLL. TEMPLE STREET, 345  DWIGHT COLLEGE, TIMOTHY TD 345 TEMPLE STREET TEMPLE ST, 345 TIMOTHY DWIGHT COLLEGE - TD",CEN,ZONE 3,1
644,TC,"ELM STREET, 241",281,Dormatory - Central,2050,127130,41.310703,-72.929112,TRUMBULL COLLEGE,97054,"2050 TRUMBULL COLLEGE ELM STREET, 241  TRUMBULL COLLEGE, JONATHAN TC 241 ELM STREET ELM ST, 241 TRUMBULL COLLEGE - TC",CEN,ZONE 4,1
645,V,"CHAPEL STREET, 1035",359,Dormatory - Central,2650,79459,41.30788,-72.929339,VANDERBILT HALL,57553,"2650 VANDERBILT HALL CHAPEL STREET, 1035  VANDERBILT HALL V 1035 CHAPEL STREET CHAPEL ST, 1035 VANDERBILT HALL",CEN,ZONE 3,1
646,W,"COLLEGE STREET, 330",355,Dormatory - Central,2630,40942,41.308147,-72.928369,"WELCH HALL,HARMANUS",30966,"2630 WELCH HALL,HARMANUS COLLEGE STREET, 330  WELCH HALL, HARMANUS M. W 330 COLLEGE STREET COLLEGE ST, 330 WELCH HALL",CEN,ZONE 3,1
